location,price,last4ccnum,date,time,cardtype,loyaltynum,day,lat,long,FullName
Ahaggo Museum,55.55,1286.0,2014-01-18,14:51,loyalty,L3288,Saturday,36.075297,24.878248,Inga Ferro
Ouzeri Elian,55.55,6899.0,2014-01-12,19:59,loyalty,L6267,Sunday,36.052814,24.872723,Isak Baza
Ouzeri Elian,57.63,6899.0,2014-01-18,19:21,loyalty,L6267,Saturday,36.052814,24.872723,Isak Baza
Ouzeri Elian,62.2,1286.0,2014-01-08,20:12,loyalty,L3288,Wednesday,36.052814,24.872723,Inga Ferro
Roberts and Sons,62.47,7253.0,2014-01-18,15:41,loyalty,L1682,Saturday,36.063394,24.852348,Linnea Bergen
Guy's Gyros,65.21,7384.0,2014-01-19,19:45,loyalty,L3800,Sunday,36.058886,24.89898,Sven Flecha
Ouzeri Elian,67.98,6899.0,2014-01-19,19:48,loyalty,L6267,Sunday,36.052814,24.872723,Isak Baza
Ouzeri Elian,69.36,6899.0,2014-01-11,19:21,loyalty,L6267,Saturday,36.052814,24.872723,Isak Baza
Ouzeri Elian,72.32,1310.0,2014-01-12,13:30,loyalty,L8012,Sunday,36.052814,24.872723,Birgitta Frente
Albert's Fine Clothing,78.91,7117.0,2014-01-07,20:10,loyalty,L6417,Tuesday,36.076364,24.85727,Kanon Herrero
Ahaggo Museum,89.32,4795.0,2014-01-11,16:24,loyalty,L8566,Saturday,36.075297,24.878248,Edvard Vann
Albert's Fine Clothing,91.71,7819.0,2014-01-16,20:25,loyalty,L5259,Thursday,36.076364,24.85727,Loreto Bodrogi
Chostus Hotel,107.51,2540.0,2014-01-08,12:56,loyalty,L5947,Wednesday,36.069663,24.892744,Elsa Orilla
Chostus Hotel,109.54,2540.0,2014-01-14,13:17,loyalty,L5947,Tuesday,36.069663,24.892744,Elsa Orilla
Ahaggo Museum,120.2,7384.0,2014-01-18,14:55,loyalty,L3800,Saturday,36.075297,24.878248,Sven Flecha
Albert's Fine Clothing,121.76,4434.0,2014-01-06,21:03,loyalty,L2169,Monday,36.076364,24.85727,Minke Mies
Frydos Autosupply n' More,124.52,4948.0,2014-01-17,19:57,loyalty,L9406,Friday,36.058722,24.90631,Isia Vann
Frydos Autosupply n' More,130.01,4948.0,2014-01-16,20:54,loyalty,L9406,Thursday,36.058722,24.90631,Isia Vann
Albert's Fine Clothing,136.01,9635.0,2014-01-08,20:45,loyalty,L3191,Wednesday,36.076364,24.85727,Gustav Cazar
Roberts and Sons,155.76,4434.0,2014-01-16,20:25,loyalty,L2169,Thursday,36.063394,24.852348,Minke Mies
General Grocer,159.3,7117.0,2014-01-12,15:46,loyalty,L6417,Sunday,36.060691,24.857844,Kanon Herrero
Frydos Autosupply n' More,209.76,4795.0,2014-01-19,15:53,loyalty,L8566,Sunday,36.058722,24.90631,Edvard Vann
Albert's Fine Clothing,211.47,4434.0,2014-01-11,16:01,loyalty,L2169,Saturday,36.076364,24.85727,Minke Mies
Albert's Fine Clothing,224.52,7117.0,2014-01-09,20:21,loyalty,L6417,Thursday,36.076364,24.85727,Kanon Herrero
General Grocer,227.28,4434.0,2014-01-10,21:28,loyalty,L2169,Friday,36.060691,24.857844,Minke Mies
Carlyle Chemical Inc.,227.81,9614.0,2014-01-10,09:09,loyalty,L5924,Friday,36.059324,24.882788,Lars Azada
Albert's Fine Clothing,228.15,7117.0,2014-01-15,20:46,loyalty,L6417,Wednesday,36.076364,24.85727,Kanon Herrero
Albert's Fine Clothing,228.72,9635.0,2014-01-14,20:50,loyalty,L3191,Tuesday,36.076364,24.85727,Gustav Cazar
Albert's Fine Clothing,254.29,2540.0,2014-01-19,20:02,loyalty,L5947,Sunday,36.076364,24.85727,Elsa Orilla
General Grocer,265.84,7108.0,2014-01-08,21:00,loyalty,L6544,Wednesday,36.060691,24.857844,Brand Tempestad
Frydos Autosupply n' More,276.88,4948.0,2014-01-15,20:57,loyalty,L9406,Wednesday,36.058722,24.90631,Isia Vann
Albert's Fine Clothing,276.9,9551.0,2014-01-06,20:26,loyalty,L5777,Monday,36.076364,24.85727,Adra Nubarron
Albert's Fine Clothing,283.38,7117.0,2014-01-16,20:08,loyalty,L6417,Thursday,36.076364,24.85727,Kanon Herrero
General Grocer,285.34,4795.0,2014-01-09,20:19,loyalty,L8566,Thursday,36.060691,24.857844,Edvard Vann
Albert's Fine Clothing,288.0,7688.0,2014-01-13,20:35,loyalty,L4164,Monday,36.076364,24.85727,Ingrid Barranco
Maximum Iron and Steel,689.85,9220.0,2014-01-13,10:20,loyalty,L4063,Monday,36.063521,24.837565,Orhan Strum
Abila Scrapyard,1158.36,2276.0,2014-01-09,14:12,loyalty,L3317,Thursday,36.074517,24.845935,Isande Borrasca
Carlyle Chemical Inc.,1718.96,9220.0,2014-01-13,12:00,loyalty,L4063,Monday,36.059324,24.882788,Orhan Strum
Abila Scrapyard,1897.05,2276.0,2014-01-16,16:56,loyalty,L3317,Thursday,36.074517,24.845935,Isande Borrasca
Abila Scrapyard,2149.28,2276.0,2014-01-07,14:16,loyalty,L3317,Tuesday,36.074517,24.845935,Isande Borrasca
Maximum Iron and Steel,2859.51,9220.0,2014-01-06,10:18,loyalty,L4063,Monday,36.063521,24.837565,Orhan Strum
Carlyle Chemical Inc.,3959.66,9220.0,2014-01-06,11:57,loyalty,L4063,Monday,36.059324,24.882788,Orhan Strum
Abila Scrapyard,4277.4,2276.0,2014-01-14,14:13,loyalty,L3317,Tuesday,36.074517,24.845935,Isande Borrasca
